Resource ID,Longitude,Latitude,Street,City,State,Zip Code,Historic Name,Current Name,Extant,Neighborhood,Planning District,Inventory,Construction Start Year,Construction End Year,Construction Date Precision,Original Architect,Philadelphia Register Individual Designation Year,National Register Individual Designation Year,National Historic Landmark Individual Designation Year,Philadelphia Register Historic District,Photo URL,Resource URL
id,lng,lat,street,city,state,zipcode,nameHist,nameCurr,extant,neighborhood,planningDistrict,inventories,constStart,constEnd,constDateType,architects,prIndYear,nrIndYear,nhlIndYear,prDist,photo,url
3244,39.93531256,-75.14712431,912 S 02nd St,Philadelphia,PA,19147-4203,912 S 02nd St,,Yes,Queen Village,South,,,,,,1966,,,,,http://www.preservephiladelphia.org/historic-resources/3244
3245,39.96587082,-75.17318637,2122 Mount Vernon St,Philadelphia,PA,19130-3134,2122 Mount Vernon St,,Yes,Spring Garden,Central,,,,,,1974,,,Spring Garden,,http://www.preservephiladelphia.org/historic-resources/3245
3246,39.95586921,-75.1434659,215 Vine St,Philadelphia,PA,19106-1210,215 Vine St,,Yes,Old City,Central,,,,,,1984,,,Old City,,http://www.preservephiladelphia.org/historic-resources/3246
3247,39.95710483,-75.17412391,143 N 21st St,Philadelphia,PA,19103-1113,143 N 21st St,,Yes,Logan Square,Central,,,,,,1970,,,,,http://www.preservephiladelphia.org/historic-resources/3247
3248,39.96544204,-75.17647924,2314 Green St,Philadelphia,PA,19130-3121,2314 Green St,,Yes,Spring Garden,Central,,,,,,1974,,,Spring Garden,,http://www.preservephiladelphia.org/historic-resources/3248
3249,40.04400055,-75.18092328,6309 Germantown Ave,Philadelphia,PA,19144-1907,Concord Schoolhouse; Upper Burying Ground,,Yes,"Mount Airy, East",Upper Northwest,,,,,,1956,,,,,http://www.preservephiladelphia.org/historic-resources/3249
3250,39.94365718,-75.16069459,1119 Rodman St,Philadelphia,PA,19147-1201,1119 Rodman St,,Yes,Washington Square West,Central,,,,,,1963,,,,,http://www.preservephiladelphia.org/historic-resources/3250
3251,39.94419246,-75.15091579,514 Delancey St,Philadelphia,PA,19106-4106,514 Delancey St,,Yes,Society Hill,Central,,,,,,1957,,,Society Hill,,http://www.preservephiladelphia.org/historic-resources/3251
3252,39.94684289,-75.17707137,2110 Pine St,Philadelphia,PA,19103-6514,2110 Pine St,,Yes,Rittenhouse,Central,,,,,,1973,,,Rittenhouse-Fitler,,http://www.preservephiladelphia.org/historic-resources/3252
3253,39.96482578,-75.17336599,2113 Brandywine St,Philadelphia,PA,19130-3106,2113 Brandywine St,,Yes,Spring Garden,Central,,,,,,1975,,,Spring Garden,,http://www.preservephiladelphia.org/historic-resources/3253
3254,39.94827609,-75.17891037,2225 Delancey Pl,Philadelphia,PA,19103-6501,2225 Delancey Pl,,Yes,Rittenhouse,Central,,,,,,1974,,,Rittenhouse-Fitler,,http://www.preservephiladelphia.org/historic-resources/3254
3255,39.93625989,-75.14602392,128 Beck St,Philadelphia,PA,19147-3418,128 Beck St,,Yes,Queen Village,Central,,,,,,1958,,,,,http://www.preservephiladelphia.org/historic-resources/3255
3256,39.94296372,-75.1539577,508 S 07th St,Philadelphia,PA,19147-1411,508 S 07th St,,Yes,Society Hill,Central,,,,,,1968,,,,,http://www.preservephiladelphia.org/historic-resources/3256
3257,39.93830476,-75.15273692,522 Kauffman St,Philadelphia,PA,19147-3015,522 Kauffman St,,Yes,Queen Village,Central,,,,,,1976,,,,,http://www.preservephiladelphia.org/historic-resources/3257
3258,39.95658963,-75.15651187,1024 Winter St,Philadelphia,PA,19107-1808,1024 Winter St,,Yes,Chinatown,Central,,,,,,1974,,,,,http://www.preservephiladelphia.org/historic-resources/3258
